index,amplitude,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,percent_beyond_1_std,period_fast,skew,std,weighted_average,fold2P_slope_10percentile,fold2P_slope_90percentile,freq1_freq,freq2_freq,freq3_freq,freq1_amplitude1,freq1_amplitude2,freq2_amplitude1,freq2_amplitude2,freq3_amplitude1,freq3_amplitude2,freq_model_max_delta_mags,freq_signif_ratio_21,freq_signif_ratio_31,freq_varrat,freq_y_offset,linear_trend,p2p_ssqr_diff_over_var
3996,0.0673116479247112,0.2652219562464985,0.4655365718071531,0.6787780776635907,0.8086428066864478,0.9147838483739478,0.4838076545632973,0.3214806688367969,-0.2094464648028731,0.0394057770211801,0.9931961020698824,-0.9695998067538016,0.97467170299083,3.1093369094751786,0.0732136033466044,1.5554155323227588,0.055012832297658,0.0048402918001761,0.0032582431044687,0.0012895601485891,0.003001026301918,0.0003401383085213,3.7985857515021586e-11,0.557404803196924,0.6199072012396091,3.045739947013213e-05,0.0008197739571564,-4.655655128796165e-05,0.2924551517971369
949,0.0051171753220856,0.1607644902471269,0.282623081579891,0.4079146513445957,0.5582999790714209,0.785888113648098,0.3120706575073602,7.239322851091054,-0.1015871072474847,0.0016162896231661,1.000056777453247,-0.287444524768207,0.2587103462873664,0.1389562507987087,0.2226288319248129,0.8681030291833309,0.0013914476393225,0.0001194044330181,0.0002868667946549,5.353951632424599e-05,0.0002921406198363,1.2970335916065296e-05,6.953170374537909e-11,0.3153733044587172,0.3191135732382772,1.5617255390513162e-06,0.0001178372740719,9.96731188595756e-06,0.7964235179985011
825,0.4888669685398983,0.1539591382183116,0.2489228934052759,0.3636945391310779,0.5056734626879232,0.6945548358670461,0.2505070993914807,6.921113739903067,-3.569105113582878,0.0696185358607225,1.0007192310460815,-1.4869782182783782,1.595100891325828,0.144709193407608,0.3744536860341197,0.4550134431888705,0.0219696352116821,0.0078279843157036,0.0115863803204486,0.0010519293020837,0.0088170887093548,0.0009865777039695,4.2946931080867213e-10,0.5834802935847876,0.4412870939733421,0.0018613794731163,8.134862917064112e-05,-3.0184400228960407e-05,0.5259017346029319
1870,0.1221134260638339,0.0265863387016989,0.0468269847325662,0.0768641064353933,0.1941797899182241,0.5278980003708589,0.1050049067713444,0.6252193893174602,-2.714018285220795,0.0515387393305536,0.9801766419020664,-0.4158785821026673,0.5598601245094783,1.600260356126545,0.7993830910622798,3.9999038033153695,0.0450881996516393,0.0307833661687792,0.0190239195744757,0.0002403790810039,0.0091872325592999,0.0077849532093989,1.6380186790287963e-09,0.8365538115405785,0.6825507102380511,0.0006501386515223,0.0002832916586071,9.811507691448368e-05,0.365843291516368
297,0.0352205878924722,0.1459969072810862,0.2507327616432306,0.3863089923673937,0.5278328859842977,0.7419620516886317,0.3081452404317958,7.991153363846907,-0.0943111696161764,0.0107014370797396,0.9997148061457848,-0.992283683080768,0.1284962374137094,0.1240177394921524,0.1897620833193175,0.2794134612654518,0.0063117130960646,0.0007520455306924,0.0032009772237777,0.000105637503895,0.0020396847935327,0.0002749498665677,1.543861470956753e-10,0.6102794476279962,0.42709447060237,9.273869064552533e-05,-0.0004056338063744,6.5720482421085e-05,1.2588447054439706
1369,0.9883547584624714,0.1302801609557372,0.2321585911118087,0.3431632046935151,0.4958461997540154,0.7089376880971147,0.3513789581205311,7.161415854351662,-0.1482975166447264,0.1713428396249232,1.002095880309845,-3.9754610916218223,3.289229785195754,0.1417257823870851,0.3058293198879204,0.2103508980692526,0.0498903478307366,0.0137517677409878,0.0243085777700034,0.0025099943360064,0.0236975391653379,0.0021083725735237,8.729218736736043e-10,0.5827519764005165,0.5537030861792228,0.0121131949899514,0.0040659317071682,-0.0003863509242849,1.5937851153000202
3984,0.0273877457718422,0.1308162979758398,0.2500147986564475,0.3955569864740799,0.5611877173055476,0.7891330499440917,0.2620215897939156,7.211822984467067,0.884737671977544,0.0034004362265917,1.000149704501084,-0.2589292788201423,0.4292369937457767,0.1359716468898225,4.319714628115132,1.7706197974114253,0.0009005294221818,0.0002152811796139,0.0004682938881201,4.161855352512104e-05,0.0003647848221232,9.808207969616515e-06,1.5828614460811077e-12,0.5483600419703338,0.4702757589466179,1.1139276573056374e-05,-5.5161628911504224e-05,-2.233216240578021e-05,1.523026053915434
1888,0.1063238552497005,0.0948371384630179,0.1640532348879052,0.2424450474417922,0.3779764064882341,0.578364757450497,0.0933062880324543,11.678080509660148,2.647874445200081,0.0103382127454295,1.0002638374853516,-0.0019656591454965,0.0021434246720228,0.0969683485439187,1.1412428713245817,1.1412428713245817,0.0005582741971027,4.376303120074114e-05,0.0005159981022923,2.798282356947796e-05,0.0005057119210198,3.82272632517888e-05,7.742777881521168e-12,0.959695322507198,0.8823503089109547,4.1829423316572255e-05,3.120401433642783e-05,1.7065140052214973e-05,1.8943591581453156
2415,0.1981401736294663,0.0844507104859333,0.1655408332160552,0.2670555775386087,0.3588636808817267,0.697358813783385,0.1364082433758587,0.4425547805584457,-1.6043302708326217,0.0952722474214617,0.957141969108228,-0.7645360804586632,0.8317065691619256,1.1280853598251412,4.522800508861858,3.3962093018311874,0.0599789881144747,0.0959193194207131,0.0279597288681927,0.0028448457326592,0.0118318713882891,0.0125839191790881,0.1698446789015367,0.7444924663768855,0.6185718420804821,0.0010782153738757,0.0050183835425157,-8.423526589013507e-05,0.2061265351315815
3670,0.0712480319171612,0.2396290392704428,0.4112116922908068,0.6005958906522912,0.772654277429669,0.8927726704913956,0.3866535819430814,1.288666801570481,-0.4140755700612145,0.0349622078953883,0.99066386449845,-0.2265017806092793,0.2293209600248902,0.7754728215702499,0.0582725241642384,0.7396128066999492,0.0454972959936337,0.0112201281710263,0.0073117775208063,0.0030135824465738,0.0037181375288409,0.0007710700996761,1.0423979734941467e-10,0.6220079942436297,0.4649051109951539,7.752717318356622e-05,0.0007889887128951,9.443478277312214e-05,0.0619675906419245
