filename,RA,dec,TIC ID,sector,camera,CCD,mag
tesslcs_sector_14_104/tesslcs_tmag_12_13/tesslc_239289816.pkl,300.298750031459,44.7573630596486,239289816,14,2,4,12.7725
tesslcs_sector_14_104/tesslcs_tmag_13_14/tesslc_27912857.pkl,296.8996847597992,49.9162713061314,27912857,14,2,4,13.6357
tesslcs_sector_14_104/tesslcs_tmag_13_14/tesslc_268309348.pkl,298.836033077068,45.1165208255958,268309348,14,2,4,13.0936
tesslcs_sector_14_104/2_min_cadence_targets/tesslc_270619211.pkl,293.541952760662,46.822154138863,270619211,14,2,4,9.7547998
tesslcs_sector_14_104/2_min_cadence_targets/tesslc_275576176.pkl,293.2331997545872,46.60014397861279,275576176,14,2,4,12.015
tesslcs_sector_14_104/tesslcs_tmag_13_14/tesslc_271772050.pkl,295.586612162184,45.3649639919437,271772050,14,2,4,13.2243
tesslcs_sector_14_104/2_min_cadence_targets/tesslc_271040947.pkl,294.460771426587,46.5897337280369,271040947,14,2,4,11.9188
tesslcs_sector_14_104/2_min_cadence_targets/tesslc_275488116.pkl,293.052108348969,46.9334933749092,275488116,14,2,4,10.5128
tesslcs_sector_14_104/tesslcs_tmag_13_14/tesslc_399826900.pkl,286.610685056464,48.4797365455041,399826900,14,2,3,13.398
tesslcs_sector_14_104/2_min_cadence_targets/tesslc_271041303.pkl,294.368870793526,46.4050942089589,271041303,14,2,4,11.7534
tesslcs_sector_14_104/2_min_cadence_targets/tesslc_63129375.pkl,292.134281147142,46.20242682985912,63129375,14,2,4,11.5131
tesslcs_sector_14_104/tesslcs_tmag_13_14/tesslc_121734872.pkl,288.72691698127005,39.337746278520704,121734872,14,2,3,13.3743
tesslcs_sector_14_104/2_min_cadence_targets/tesslc_122784501.pkl,291.048816,36.839902,122784501,14,1,2,11.517
tesslcs_sector_14_104/tesslcs_tmag_14_15/tesslc_123129547.pkl,280.476926331021,47.655043419285896,123129547,14,2,3,14.4723
tesslcs_sector_14_104/2_min_cadence_targets/tesslc_159726150.pkl,291.37061766272893,47.4355271221664,159726150,14,2,4,11.5602
tesslcs_sector_14_104/tesslcs_tmag_13_14/tesslc_243271716.pkl,286.47146193397293,49.64899707478371,243271716,14,2,3,13.5467
tesslcs_sector_14_104/tesslcs_tmag_13_14/tesslc_137414517.pkl,292.182370447779,39.5602134764603,137414517,14,1,2,13.7968
tesslcs_sector_14_104/tesslcs_tmag_13_14/tesslc_137891285.pkl,292.8331469614,37.9370286767787,137891285,14,1,2,13.6147
tesslcs_sector_14_104/tesslcs_tmag_12_13/tesslc_27844066.pkl,296.414376005871,51.1619981617368,27844066,14,2,4,12.5299
tesslcs_sector_14_104/tesslcs_tmag_12_13/tesslc_240193176.pkl,300.568272826444,44.0295516725212,240193176,14,2,4,12.9975
tesslcs_sector_14_104/2_min_cadence_targets/tesslc_164558072.pkl,283.8663181505632,47.2282477203613,164558072,14,2,3,10.5097
tesslcs_sector_14_104/tesslcs_tmag_13_14/tesslc_268386487.pkl,298.975391617856,46.9048965383854,268386487,14,2,4,13.5438
tesslcs_sector_14_104/tesslcs_tmag_13_14/tesslc_27913295.pkl,296.80504696565,49.7126368825721,27913295,14,2,4,13.747
tesslcs_sector_14_104/tesslcs_tmag_12_13/tesslc_121988489.pkl,289.23368693872686,39.3865182920746,121988489,14,1,2,12.4477
tesslcs_sector_14_104/tesslcs_tmag_13_14/tesslc_164457173.pkl,283.2458167805952,46.8510704140982,164457173,14,2,3,13.7939
tesslcs_sector_14_104/tesslcs_tmag_14_15/tesslc_271545029.pkl,295.1889432794181,45.4061880199141,271545029,14,2,4,14.4825
